"MKSiteCode","KnsID","SiteId"
474,2412,464
475,2413,465
476,2414,466
477,2415,467
478,2416,468
479,2417,469
480,2418,470
481,2419,471
482,2420,71
483,2421,152
484,2422,472
485,2423,473
486,2424,474
487,2425,475
488,2426,476
489,2427,477
490,2428,478
491,2429,479
492,2430,480
493,2431,481
494,2432,75
495,2433,482
496,2434,483
497,2435,76
498,2436,484
499,2437,485
500,2438,486
501,2439,215
502,2440,487
503,2441,488
504,2442,489
505,2443,490
506,2444,79
507,2445,153
508,2446,492
509,2447,154
510,2448,685
511,2449,81
512,2450,494
513,2451,493
514,2452,495
515,2453,496
516,2454,497
517,2455,498
518,2456,500
519,2457,499
520,2458,501
521,2459,502
522,2460,503
523,2461,504
524,2462,505
525,2463,506
526,2464,507
527,2465,84
528,2466,508
529,2467,156
530,2468,87
531,2469,509
532,2470,510
533,2471,511
534,2472,512
535,2473,513
536,2474,514
537,2475,515
538,2476,687
539,2477,516
540,2478,517
541,2479,519
542,2480,520
543,2481,521
544,2482,157
545,2483,522
546,2484,523
547,2485,694
548,2486,524
549,2487,158
550,2488,525
551,2489,159
552,2490,526
553,2491,527
554,2492,528
555,2493,529
556,2494,530
557,2495,531
558,2496,532
559,2497,533
560,2498,224
561,2499,534
562,2500,535
563,2501,536
564,2502,537
565,2503,538
566,2504,539
567,2505,93
568,2506,540
569,2507,160
570,2508,541
571,2509,542
572,2510,543
573,2511,95
574,2512,544
575,2513,545
576,2514,546
577,2515,547
578,2516,548
579,2517,549
580,2518,550
581,2519,551
582,2520,552
583,2521,553
584,2522,162
585,2523,554
586,2524,161
587,2525,555
588,2526,97
589,2527,556
590,2528,557
591,2529,558
592,2530,559
593,2531,560
594,2532,99
595,2533,250
596,2534,561
597,2535,562
598,2536,563
599,2537,564
600,2538,101
601,2539,565
602,2540,566
603,2541,567
604,2542,568
605,2543,569
606,2544,570
607,2545,102
608,2546,571
609,2547,572
610,2548,573
611,2549,686
612,2550,574
613,2551,575
614,2552,576
615,2553,577
616,2554,578
617,2555,579
618,2556,580
619,2557,581
620,2558,582
621,2559,163
622,2560,164
623,2561,583
624,2562,106
625,2563,165
626,2564,584
627,2565,585
628,2566,107
629,2567,586
630,2568,587
631,2569,588
632,2570,589
633,2571,590
634,2572,591
635,2573,592
636,2574,108
637,2575,593
638,2576,594
639,2577,166
640,2578,595
641,2579,596
642,2580,597
643,2581,598
644,2582,599
645,2583,167
646,2584,600
647,2585,601
648,2586,602
649,2587,603
650,2588,604
651,2589,605
652,2590,606
653,2591,607
654,2592,608
655,2593,609
656,2594,111
657,2595,168
658,2596,611
659,2597,612
660,2598,613
661,2599,614
662,2600,615
663,2601,616
664,2602,617
665,2603,618
666,2604,619
667,2605,620
668,2606,621
669,2607,622
670,2608,623
671,2609,624
672,2610,625
673,2611,626
674,2612,627
675,2613,628
676,2614,629
677,2615,630
678,2616,631
679,2617,632
680,2618,633
681,2619,634
682,2620,116
683,2621,635
684,2622,170
685,2623,171
686,2624,636
687,2625,637
688,2626,693
689,2627,638
690,2628,639
691,2629,640
692,2630,641
693,2631,681
694,2632,642
695,2633,118
696,2634,172
697,2635,120
698,2636,644
699,2637,645
700,2638,646
701,2639,643
702,2640,647
703,2641,648
704,2642,173
705,2643,649
706,2644,650
707,2645,651
708,2646,652
709,2647,653
710,2648,654
711,2649,174
712,2650,124
713,2651,655
714,2652,175
715,2653,656
716,2654,657
717,2655,658
718,2656,659
719,2657,660
720,2658,176
721,2659,661
722,2660,177
723,2661,663
724,2662,665
725,2663,666
726,2664,667
727,2665,668
728,2666,669
729,2667,670
730,2668,671
731,2669,673
732,2670,674
733,2671,675
734,2672,128
735,2673,676
736,2674,677
737,2675,678
738,2676,679
739,3175,759
740,3256,698
741,3257,701
742,3258,700
743,3259,699
744,3260,702
745,3261,706
746,3262,705
747,3263,703
748,4035,760
749,4155,761
750,4156,762
751,4175,763
752,4217,764
753,4218,765
754,4235,766
755,4295,789
756,4297,800
757,4298,794
758,4299,796
759,4300,803
760,4301,777
761,4302,799
762,4303,798
763,4304,787
764,4355,772
765,4375,770
766,4376,781
767,4395,771
768,4396,775
769,4397,768
770,4398,767
771,4399,769
772,4400,774
773,4401,776
774,4402,773
775,4403,788
776,4404,779
777,4405,782
778,4406,792
779,4407,797
780,4408,802
781,4409,785
782,4410,801
783,4411,786
784,4412,793
785,4413,790
786,4414,783
787,4415,778
788,4416,780
789,4417,791
790,4418,795
791,4419,784
792,4635,804
793,5904,707
794,5955,610
795,5956,491
796,6076,805
797,6095,806
798,6235,807
799,7035,808
800,7736,809
801,9315,810
802,9615,865
803,10355,811
804,10555,812
805,11235,813
806,11835,814
807,12595,815
808,12835,816
809,12935,820
810,12936,842
811,12937,830
812,12938,837
813,12939,833
814,12941,817
815,12942,841
816,12943,821
817,12944,828
818,12945,844
819,12946,847
820,12947,843
821,12948,825
822,12949,840
823,12950,835
824,12951,826
825,12952,832
826,12953,838
827,12954,834
828,12955,839
829,12956,845
830,12957,824
831,12958,827
832,12959,831
833,12960,829
834,12961,818
835,12962,819
836,12963,823
837,12964,846
838,12965,822
839,12966,836
840,13830,848
841,14470,849
842,17630,850
843,18990,851
844,21431,852
845,22091,853
846,22151,854
847,22811,855
848,22911,856
849,23511,864
850,23512,904
851,23531,863
852,23532,893
853,23533,870
854,23534,873
855,23551,884
856,23552,898
857,23553,879
858,23555,902
859,23556,885
860,23557,859
861,23558,914
862,23560,956
863,23564,912
864,23565,881
865,23566,903
866,23567,882
867,23568,901
868,23569,896
869,23570,862
870,23571,880
871,23572,940
872,23573,926
873,23591,899
874,23592,890
875,23594,878
876,23595,886
877,23596,868
878,23597,874
879,23598,887
880,23599,875
881,23600,900
882,23601,897
883,23602,891
884,23631,860
885,23632,876
886,23633,883
887,23634,892
888,23635,905
889,23636,889
890,23637,894
891,23638,877
892,23639,872
893,23640,869
894,23641,861
895,23642,857
896,23643,867
897,23651,871
898,23652,888
899,23653,895
900,23673,866
901,28513,906
902,29855,907
903,30014,908
904,30054,930
905,30055,936
906,30056,929
907,30057,945
908,30058,922
909,30059,918
910,30060,925
911,30061,935
912,30062,913
913,30063,917
914,30064,934
915,30065,933
916,30066,938
917,30067,948
918,30068,923
919,30069,919
920,30070,937
921,30071,909
922,30074,927
923,30076,920
924,30077,921
925,30078,911
926,30079,910
927,30080,939
928,30081,942
929,30082,946
930,30083,928
931,30084,941
932,30094,943
933,30095,932
934,30096,944
935,30097,931
936,30098,924
937,30099,916
938,30102,915
939,30117,949
940,30118,950
941,30121,951
942,30289,952
943,30300,953
944,30328,954
945,30407,955
946,30470,957
947,30520,958
948,30548,959
949,30549,960
950,30550,961
951,30554,962
952,30555,963
953,30558,964
954,30588,968
955,30601,970
956,30628,971
957,30646,972
958,30654,973
959,30723,983
960,30660,1008
961,30677,989
962,30682,1003
963,30691,1022
964,30681,980
965,30703,1019
966,30700,974
967,30708,1002
968,30693,981
969,30657,988
970,30709,1010
971,30684,1017
972,30711,1044
973,30680,997
974,30687,986
975,30679,1005
976,30671,996
977,30683,1000
978,30724,990
979,30715,991
980,30689,1012
981,30697,984
982,30686,1006
983,30719,1013
984,30701,976
985,30720,998
986,30707,1016
987,30690,1020
988,30678,975
989,30695,995
990,30722,994
991,30717,977
992,30718,1014
993,30713,1007
994,30702,992
995,30672,1001
996,30692,979
997,30716,1021
998,30685,978
999,30710,987
1000,30704,1011
1001,30721,1009
1002,30698,993
1003,30694,982
1004,30714,985
1005,30706,1018
1006,30688,999
1007,30705,1004
1008,30696,1023
1009,30662,1030
1010,30741,1024
1011,30743,1027
1012,30746,1028
1013,30750,1025
1014,30751,1031
1015,30749,1029
1016,30752,1026
1017,30759,1034
1018,30758,1032
1019,30760,1033
1020,30761,1035
1021,30765,1039
1022,30762,1036
1023,30763,1037
1024,30764,1038
1025,30766,1040
1026,30767,1041
1027,30768,1042
1028,30770,1043
1029,30772,1045
1030,30773,1046
1031,30774,1047
1032,30775,1048
1033,30777,1050
1034,30776,1049
1035,30778,1052
